country,ISO2 Code,year,FM2_XDC,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk,GGXWDG_NGDP,GGXCNL_NGDP
Afghanistan,0,0,231,197,358,358,358,204,358,2,206,260,358,244,204,204,204,197,181,204,3,358,313,313,358,0,0,340,340
Algeria,0,0,161,5,356,235,235,145,358,3,145,65,0,0,358,145,145,5,1,144,3,358,342,342,358,0,0,329,328
Angola,0,0,148,72,358,97,217,144,358,1,144,183,358,61,358,144,144,72,22,144,3,358,328,328,358,0,0,338,334
Argentina,0,0,111,0,358,32,32,358,358,0,358,15,358,59,26,358,358,0,358,358,3,260,240,240,95,0,0,330,331
Azerbaijan,0,0,100,52,358,114,114,144,358,52,144,358,358,108,358,144,144,52,24,144,27,294,276,276,358,20,20,333,332
Bangladesh,0,0,136,0,358,21,21,144,16,0,144,90,358,1,1,144,144,0,51,143,3,358,240,240,358,0,0,341,328
Brazil,0,0,29,0,245,1,1,144,1,0,145,0,0,85,0,144,144,0,2,143,3,246,239,239,71,2,2,338,334
Bulgaria,0,0,101,39,113,68,68,145,128,6,193,12,36,25,358,145,171,39,12,145,3,256,244,244,141,0,0,336,336
Chile,0,0,124,0,10,8,8,98,100,0,98,121,0,10,2,98,98,0,0,96,3,265,244,244,168,0,0,329,328
Colombia,0,0,30,0,155,32,32,145,358,0,146,62,0,0,358,145,145,0,0,143,3,301,264,264,190,0,0,334,328
Costa Rica,0,0,28,0,349,1,1,145,123,0,134,358,0,5,358,145,145,0,8,145,3,246,276,276,358,0,0,334,328
Croatia,0,0,358,35,149,40,40,145,77,24,145,91,84,103,358,145,145,35,0,145,27,268,254,254,115,17,17,336,330
Czech Republic,0,0,174,36,42,41,177,134,41,36,148,37,0,37,358,134,146,36,12,134,63,260,252,252,67,36,36,333,333
Democratic Republic of the Congo,0,0,161,10,358,270,358,134,358,0,137,207,24,195,358,134,134,10,36,134,3,358,358,358,358,358,358,358,358
Dominican Republic,0,0,171,0,358,9,6,143,358,1,144,101,0,93,93,143,143,0,2,143,3,314,324,324,358,0,0,335,335
Egypt,0,0,131,1,358,19,19,169,259,1,169,358,358,5,358,144,144,1,11,144,3,310,325,325,358,0,0,336,337
Ethiopia,0,0,185,4,358,214,239,358,358,4,358,349,358,130,282,358,358,4,13,358,3,358,240,240,358,0,0,330,328
Ghana,0,0,173,1,358,256,254,146,358,1,150,202,0,358,55,146,146,1,3,146,3,358,326,326,358,0,0,328,328
Guatemala,0,0,123,0,358,2,2,144,358,0,144,358,358,85,85,144,144,0,8,144,3,287,240,240,358,0,0,338,333
Hungary,0,0,97,0,101,4,4,134,3,0,158,358,9,1,358,134,158,0,0,134,3,260,240,240,35,0,0,333,333
India,0,0,358,2,358,2,2,358,3,0,358,97,358,2,358,358,358,2,1,358,3,298,240,240,23,0,0,329,328
Indonesia,0,0,90,1,336,4,4,144,358,0,174,32,358,1,358,144,144,1,0,144,3,243,240,240,83,0,0,338,331
Iran,0,0,358,358,358,339,307,358,358,10,358,358,0,202,358,358,358,358,11,358,3,250,358,358,358,0,0,334,328
Iraq,0,0,219,1,358,358,358,181,358,4,181,358,358,206,219,181,181,1,212,181,3,356,332,332,358,0,0,342,342
Israel,0,0,255,0,265,1,43,145,86,0,145,358,0,64,358,145,145,0,0,145,3,242,240,240,115,0,0,338,338
Kazakhstan,0,0,195,46,154,88,88,168,166,46,168,358,358,358,358,144,145,46,51,143,27,263,260,260,138,3,3,340,340
Kenya,0,0,150,1,358,23,32,144,279,0,144,358,358,5,6,144,144,1,1,144,3,358,358,358,229,0,0,336,328
Korea,0,0,29,1,38,22,22,145,2,0,145,2,358,80,358,145,145,1,0,145,3,241,240,240,358,0,0,358,358
Malaysia,0,0,29,0,223,7,7,144,7,0,144,1,0,1,1,144,144,0,2,144,3,246,278,278,83,0,0,328,328
Mexico,0,0,29,0,358,9,9,144,4,0,144,1,0,45,38,144,144,0,0,144,3,296,240,240,23,0,0,334,328
Morocco,0,0,171,1,358,7,7,144,358,1,144,51,0,358,358,144,144,1,9,144,3,246,292,292,156,0,0,328,328
Myanmar,0,0,358,2,358,28,28,147,358,1,147,358,358,22,358,147,147,2,83,147,3,358,242,242,358,0,0,336,336
Nigeria,0,0,150,1,358,37,41,150,358,1,150,358,0,7,358,150,150,1,1,150,3,329,316,316,115,0,0,328,328
Pakistan,0,0,201,0,356,5,5,144,358,0,144,0,0,169,322,144,144,0,8,143,3,358,240,240,213,0,0,332,331
Paraguay,0,0,28,1,358,10,46,144,358,0,144,40,0,79,31,144,144,1,8,144,3,260,280,280,358,0,0,328,328
Philippines,0,0,358,1,358,4,4,144,358,0,149,3,0,4,4,144,144,1,7,144,3,242,240,240,95,0,0,331,328
Poland,0,0,113,0,60,4,4,170,358,0,172,11,9,358,358,145,170,0,2,145,3,260,280,280,74,0,0,333,333
Russia,0,0,112,55,146,34,142,133,358,37,134,61,46,87,358,133,133,55,25,133,27,259,256,256,358,358,358,358,358
Singapore,0,0,14,1,358,1,1,358,358,0,358,2,0,2,2,358,358,1,1,358,3,244,260,260,23,0,0,328,328
South Africa,0,0,29,0,298,10,10,144,358,0,144,0,0,0,144,144,144,0,0,143,3,278,240,240,161,0,0,338,338
Sri Lanka,0,0,173,3,358,6,6,168,358,2,168,149,358,149,154,168,168,3,10,168,3,322,241,241,23,0,0,328,328
Sudan,0,0,172,23,358,154,154,146,358,0,146,358,358,358,358,146,146,23,46,146,3,358,242,242,358,0,0,330,328
Tanzania,0,0,59,8,358,58,70,161,358,7,144,358,358,35,35,161,161,8,35,150,3,358,329,329,358,0,0,339,329
Thailand,0,0,154,0,137,4,4,144,358,0,144,0,358,26,108,144,144,0,0,143,3,252,240,240,83,0,0,334,333
Turkey,0,0,28,0,192,1,1,156,358,0,144,358,358,358,358,144,156,0,0,144,3,240,239,239,23,0,0,338,338
Uganda,0,0,68,6,358,5,10,144,358,0,144,358,0,27,7,144,144,6,29,144,3,358,284,284,182,0,0,335,335
Ukraine,0,0,95,35,358,66,66,144,358,35,144,82,35,36,358,144,144,35,33,144,27,282,256,256,117,6,6,335,333
Uruguay,0,0,29,0,184,1,1,144,358,0,144,45,0,3,3,144,144,0,8,143,3,302,280,280,358,0,0,346,337
Venezuela,0,0,119,16,152,126,68,205,358,16,205,88,34,13,37,205,205,16,249,205,3,358,266,266,358,0,0,337,329
Vietnam,0,0,358,77,358,103,103,358,217,4,358,358,358,64,358,358,358,77,60,358,3,358,264,264,138,358,358,338,336
